epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,24813.4,0.16739,0.13516,0.77533,0.94392,0.89459,0.93627,0.71625,0.94879,0.53602,1.18584,0.003466,0.003466,0.003466
134,25003.3,0.16527,0.13323,0.77445,0.94588,0.89396,0.93635,0.71648,0.94915,0.53586,1.1861,0.0034165,0.0034165,0.0034165
135,25191.8,0.16426,0.13262,0.77427,0.94426,0.89398,0.93623,0.71598,0.94896,0.53603,1.18601,0.003367,0.003367,0.003367
136,25381.3,0.16288,0.13204,0.77408,0.94498,0.89439,0.93623,0.71703,0.94897,0.53678,1.18617,0.0033175,0.0033175,0.0033175
137,25570.2,0.16129,0.13014,0.77354,0.94493,0.89456,0.93627,0.71638,0.94882,0.53718,1.18579,0.003268,0.003268,0.003268
138,25760.4,0.15864,0.12808,0.77337,0.9451,0.89459,0.93647,0.71742,0.94835,0.53639,1.18554,0.0032185,0.0032185,0.0032185
139,25950.5,0.15746,0.12779,0.7729,0.94439,0.89391,0.93619,0.71698,0.94811,0.53627,1.18537,0.003169,0.003169,0.003169
140,26139.2,0.15551,0.12674,0.77273,0.94423,0.89386,0.9363,0.71688,0.9476,0.5359,1.1851,0.0031195,0.0031195,0.0031195
141,26328.3,0.15487,0.12691,0.77287,0.94419,0.89366,0.93655,0.71823,0.94766,0.53709,1.18532,0.00307,0.00307,0.00307
142,26515.7,0.15368,0.12544,0.77226,0.94406,0.89372,0.93626,0.71787,0.94784,0.53671,1.18557,0.0030205,0.0030205,0.0030205
143,26704,0.15183,0.12596,0.77247,0.94409,0.894,0.93673,0.71817,0.9475,0.53761,1.18548,0.002971,0.002971,0.002971
144,26892.6,0.15169,0.12567,0.77231,0.94437,0.8939,0.9369,0.71798,0.94754,0.53778,1.18567,0.0029215,0.0029215,0.0029215
145,27082.3,0.14691,0.12202,0.77161,0.94478,0.89396,0.9368,0.71885,0.94728,0.53797,1.18586,0.002872,0.002872,0.002872
146,27272.5,0.14736,0.12209,0.77173,0.94401,0.89468,0.93683,0.71848,0.94763,0.53816,1.18607,0.0028225,0.0028225,0.0028225
147,27462.5,0.14624,0.12234,0.77136,0.94341,0.89468,0.9369,0.7189,0.94757,0.53854,1.18606,0.002773,0.002773,0.002773
148,27651.2,0.14525,0.12041,0.77137,0.94344,0.89478,0.93652,0.71926,0.94749,0.53882,1.18617,0.0027235,0.0027235,0.0027235
149,27841.5,0.14262,0.12012,0.77042,0.94411,0.89546,0.93686,0.71835,0.94754,0.53926,1.18625,0.002674,0.002674,0.002674
150,28030.8,0.14123,0.11829,0.77043,0.94409,0.89591,0.93706,0.71853,0.94754,0.53954,1.18619,0.0026245,0.0026245,0.0026245
151,28220,0.13941,0.11695,0.76973,0.94382,0.89687,0.93685,0.71909,0.94755,0.54043,1.18643,0.002575,0.002575,0.002575
152,28408.9,0.13864,0.11699,0.7701,0.94364,0.89705,0.93695,0.71947,0.94756,0.54084,1.18672,0.0025255,0.0025255,0.0025255
153,28597.7,0.13691,0.1159,0.76971,0.94167,0.898,0.9371,0.71907,0.94742,0.541,1.18701,0.002476,0.002476,0.002476
154,28787.4,0.13595,0.11524,0.76991,0.94049,0.89818,0.937,0.71948,0.94717,0.54182,1.18701,0.0024265,0.0024265,0.0024265
155,28976.7,0.13555,0.11507,0.76953,0.94092,0.89851,0.93723,0.71939,0.94717,0.5425,1.18701,0.002377,0.002377,0.002377
156,29165.3,0.13304,0.11316,0.76922,0.93971,0.89898,0.93771,0.71954,0.94743,0.54324,1.18705,0.0023275,0.0023275,0.0023275
157,29352.2,0.13004,0.11191,0.76891,0.94171,0.89859,0.93772,0.71988,0.94705,0.54409,1.18691,0.002278,0.002278,0.002278
158,29541.6,0.1295,0.11122,0.76864,0.94151,0.89868,0.93756,0.71938,0.94676,0.54456,1.18667,0.0022285,0.0022285,0.0022285
159,29731.9,0.12802,0.11126,0.76874,0.94149,0.89858,0.93723,0.72043,0.94694,0.54523,1.18674,0.002179,0.002179,0.002179
160,29921.7,0.12702,0.10938,0.76815,0.9424,0.89835,0.9372,0.7203,0.94683,0.54584,1.18674,0.0021295,0.0021295,0.0021295
161,30118.6,0.12314,0.10778,0.76755,0.94227,0.89827,0.93706,0.71983,0.9469,0.5465,1.18689,0.00208,0.00208,0.00208
162,30305.7,0.12292,0.10797,0.76753,0.9422,0.89818,0.9372,0.71982,0.94674,0.54697,1.18672,0.0020305,0.0020305,0.0020305
163,30491.9,0.12076,0.10647,0.76704,0.94219,0.89802,0.93739,0.71921,0.94663,0.548,1.18668,0.001981,0.001981,0.001981
164,30678.6,0.11999,0.10556,0.76743,0.94259,0.89767,0.93741,0.71971,0.94629,0.54791,1.18673,0.0019315,0.0019315,0.0019315
165,30864.8,0.11677,0.10386,0.76673,0.94132,0.89857,0.937,0.71848,0.94631,0.54876,1.18683,0.001882,0.001882,0.001882
166,31051.2,0.11666,0.10334,0.76699,0.94126,0.89882,0.93695,0.71848,0.94604,0.54853,1.18663,0.0018325,0.0018325,0.0018325
167,31237.8,0.11458,0.10271,0.76644,0.92699,0.91095,0.93706,0.71927,0.9459,0.5496,1.18668,0.001783,0.001783,0.001783
168,31438.5,0.11251,0.10113,0.76609,0.92743,0.9107,0.93684,0.71906,0.94608,0.55096,1.187,0.0017335,0.0017335,0.0017335
169,31628.8,0.11168,0.10028,0.76598,0.92767,0.91044,0.93691,0.71927,0.94638,0.55001,1.18738,0.001684,0.001684,0.001684
170,31825.8,0.11119,0.1004,0.76594,0.92778,0.91016,0.93706,0.71963,0.9465,0.55051,1.18763,0.0016345,0.0016345,0.0016345
171,32028.8,0.10875,0.09855,0.76592,0.9285,0.91004,0.93713,0.72016,0.94645,0.55133,1.18785,0.001585,0.001585,0.001585
172,32227.1,0.10642,0.09767,0.76565,0.92916,0.91021,0.93721,0.72049,0.94651,0.55173,1.18822,0.0015355,0.0015355,0.0015355
173,32429.5,0.10581,0.09674,0.76547,0.92937,0.91022,0.93745,0.72087,0.94633,0.55204,1.18811,0.001486,0.001486,0.001486
174,32630.2,0.10462,0.09599,0.76504,0.92931,0.91027,0.93738,0.72065,0.94625,0.55285,1.1884,0.0014365,0.0014365,0.0014365
175,32830.9,0.103,0.09503,0.7649,0.93028,0.90973,0.93708,0.72039,0.94601,0.55254,1.18855,0.001387,0.001387,0.001387
176,33045.9,0.10131,0.0941,0.76482,0.93005,0.90987,0.93719,0.72198,0.94625,0.55409,1.18915,0.0013375,0.0013375,0.0013375
177,33256.6,0.09939,0.09284,0.76473,0.92892,0.9109,0.93724,0.72095,0.9464,0.55591,1.18946,0.001288,0.001288,0.001288
178,33468.5,0.09931,0.09309,0.7648,0.92952,0.91058,0.93719,0.72077,0.94652,0.55662,1.1895,0.0012385,0.0012385,0.0012385
179,33678.5,0.09685,0.09127,0.76436,0.92823,0.91118,0.93726,0.72076,0.94667,0.55696,1.18984,0.001189,0.001189,0.001189
180,33891.8,0.0952,0.09063,0.76368,0.92829,0.91116,0.93724,0.72149,0.94677,0.55795,1.19019,0.0011395,0.0011395,0.0011395
181,34100.2,0.09427,0.08968,0.76376,0.92814,0.91108,0.93727,0.72117,0.94691,0.55905,1.19048,0.00109,0.00109,0.00109
182,34308.6,0.09221,0.08876,0.76368,0.92894,0.90924,0.93715,0.7209,0.94703,0.55906,1.1906,0.0010405,0.0010405,0.0010405
183,34507.3,0.09098,0.08746,0.76366,0.92856,0.90892,0.93729,0.72134,0.94684,0.55973,1.19104,0.000991,0.000991,0.000991
